feature,dtype,feature_type,missing_count,missing_rate,n_unique,is_applicability_indicator,mean,std,min,median,max,top_value,top_value_share
acoustic_comfort_is_applicable,int64,numeric,0,0.0,2,True,0.2365684876725667,0.4249787977525887,0.0,0.0,1.0,,
seat_availability_is_applicable,int64,numeric,0,0.0,2,True,0.2365684876725667,0.4249787977525887,0.0,0.0,1.0,,
reserved_seat_availability_is_applicable,int64,numeric,0,0.0,2,True,0.03159230795980109,0.1749135957864394,0.0,0.0,1.0,,
power_outlet_availability_is_applicable,int64,numeric,0,0.0,2,True,0.5786938832284313,0.49377273305691133,0.0,1.0,1.0,,
airport_internet_is_applicable,int64,numeric,0,0.0,2,True,0.5786938832284313,0.49377273305691133,0.0,1.0,1.0,,
internet_connection_speed_is_applicable,int64,numeric,0,0.0,2,True,0.03352227283791773,0.179997481613033,0.0,0.0,1.0,,
network_access_ease_is_applicable,int64,numeric,0,0.0,2,True,0.03352227283791773,0.179997481613033,0.0,0.0,1.0,,
restrooms_is_applicable,int64,numeric,0,0.0,2,True,0.5786938832284313,0.49377273305691133,0.0,1.0,1.0,,
restroom_quantity_is_applicable,int64,numeric,0,0.0,2,True,0.13113328928608686,0.3375490050323503,0.0,0.0,1.0,,
restroom_cleanliness_is_applicable,int64,numeric,0,0.0,2,True,0.13113328928608686,0.3375490050323503,0.0,0.0,1.0,,
restroom_maintenance_is_applicable,int64,numeric,0,0.0,2,True,0.13113328928608686,0.3375490050323503,0.0,0.0,1.0,,
baggage_claim_process_is_applicable,int64,numeric,0,0.0,2,True,0.42130611677156865,0.4937727330569114,0.0,0.0,1.0,,
baggage_carousel_identification_ease_is_applicable,int64,numeric,0,0.0,2,True,0.08590951768265118,0.28023282796361004,0.0,0.0,1.0,,
baggage_claim_time_is_applicable,int64,numeric,0,0.0,2,True,0.08590951768265118,0.28023282796361004,0.0,0.0,1.0,,
baggage_integrity_is_applicable,int64,numeric,0,0.0,2,True,0.08590951768265118,0.28023282796361004,0.0,0.0,1.0,,
arrival_lead_time_is_applicable,int64,numeric,0,0.0,2,True,0.38787077928852104,0.4872690900264174,0.0,0.0,1.0,,
connection_wait_time_is_applicable,int64,numeric,0,0.0,2,True,0.19082310393991028,0.3929533454760493,0.0,0.0,1.0,,
